연번,시,구,동,관리번호,지번주소,도로명주소,설치일자,카메라대수,위도,경도,데이터기준일자,weight
"2755",경기도 성남시,분당구,백현동,분당백현-A-45,백현동 592-5번지,,"2011","4","37.386377 ","127.115539 ",2025-11-12,0.70
"2756",경기도 성남시,분당구,백현동,분당백현-A-46,백현동 590-3번지,,"2011","5","37.385947 ","127.113925 ",2025-11-12,0.70
"2757",경기도 성남시,분당구,백현동,분당백현-A-47,백현동 588-11번지,동판교로52번길 19 (백현동),"2011","5","37.385037 ","127.113776 ",2025-11-12,0.70
"2758",경기도 성남시,분당구,백현동,분당백현-A-48,백현동 545-5,동판교로52번길 26-14 (백현동),"2011","5","37.391521 ","127.113226 ",2025-11-12,0.70
"2759",경기도 성남시,분당구,백현동,분당백현-A-49,백현동 554-3번지,,"2011","4","37.389703 ","127.110840 ",2025-11-12,0.70
"2760",경기도 성남시,분당구,백현동,분당백현-A-50,백현동 523번지,판교역로14번길 42 (백현동),"2011","5","37.387926 ","127.108232 ",2025-11-12,0.70
"2761",경기도 성남시,분당구,백현동,분당백현-A-51,백현동 566-3번지,,"2011","5","37.387815 ","127.111463 ",2025-11-12,0.70
"2762",경기도 성남시,분당구,백현동,분당백현-A-52,백현동 523번지,,"2011","1","37.386153 ","127.105769 ",2025-11-12,0.70
"2763",경기도 성남시,분당구,백현동,분당백현-A-53,백현동 576번지,,"2011","1","37.383770 ","127.109730 ",2025-11-12,0.70
"2764",경기도 성남시,분당구,백현동,분당백현-A-54,백현동 521-5번지,,"2011","3","37.392807 ","127.106515 ",2025-11-12,0.70
"2765",경기도 성남시,분당구,백현동,분당백현-A-55,백현동 521-2번지,,"2011","3","37.392133 ","127.104819 ",2025-11-12,0.70
"2766",경기도 성남시,분당구,백현동,분당백현-A-56,백현동 521-4번지,,"2011","3","37.390462 ","127.103559 ",2025-11-12,0.70
"2767",경기도 성남시,분당구,백현동,분당백현-A-57,백현동 590-1번지,,"2013","3","37.386363 ","127.114392 ",2025-11-12,0.70
"2768",경기도 성남시,분당구,백현동,분당백현-A-58,백현동 596번지,,"2014","3","37.387568 ","127.113472 ",2025-11-12,0.70
"2769",경기도 성남시,분당구,백현동,분당백현-A-59,백현동 65-5번지,,"2014","3","37.390490 ","127.116730 ",2025-11-12,0.70
"2770",경기도 성남시,분당구,백현동,분당백현-A-60,백현동 559번지,,"2014","3","37.387324 ","127.111385 ",2025-11-12,0.70
"2771",경기도 성남시,분당구,백현동,분당백현-A-61,백현동 521-5번지,,"2015","3","37.388060 ","127.103070 ",2025-11-12,0.70
"2772",경기도 성남시,분당구,백현동,분당백현-A-62,백현동 606번지,,"2016","4","37.386670 ","127.115880 ",2025-11-12,0.70
"2773",경기도 성남시,분당구,백현동,분당백현-A-63,백현동 132-237,판교역로 49,2019-10,"5","37.395823 ","127.111297 ",2025-11-12,0.70
"2774",경기도 성남시,분당구,백현동,분당백현-A-64,백현동 19-2,나들이공원,2019-10,"5","37.394976 ","127.111138 ",2025-11-12,0.70
"2775",경기도 성남시,분당구,백현동,분당백현-A-65,백현동 132-196,,2019-10,"5","37.394785 ","127.109953 ",2025-11-12,0.70
"2776",경기도 성남시,분당구,백현동,분당백현-A-66,백현동 132-182,,2019-10,"5","37.394529 ","127.111562 ",2025-11-12,0.70
"2777",경기도 성남시,분당구,백현동,분당백현-A-67,백현동 534,,2019-10,"5","37.394863 ","127.112524 ",2025-11-12,0.70
